%,FOR,W,SHAPE,,,,,,,,,
W44×335,133,2.52,11.1,149,2.25,12.4,104,3.22,8.67,120,2.79,10
×290,132,2.2,11,147,1.97,12.3,103,2.82,8.58,119,2.44,9.92
×262,131,2,10.9,147,1.78,12.3,102,2.57,8.5,118,2.22,9.83
×230,130,1.77,10.8,146,1.58,12.2,102,2.25,8.5,117,1.97,9.75
W40×593,130,4.56,10.8,147,4.03,12.3,103,5.76,8.58,119,4.98,9.92
×503,128,3.93,10.7,144,3.49,12,101,4.98,8.42,117,4.3,9.75
×431,126,3.42,10.5,143,3.01,11.9,98.8,4.36,8.23,115,3.75,9.58
×397,126,3.15,10.5,142,2.8,11.8,98.1,4.05,8.18,114,3.48,9.5
×372,125,2.98,10.4,141,2.64,11.8,97.3,3.82,8.11,113,3.29,9.42
×362,125,2.9,10.4,141,2.57,11.8,97.2,3.72,8.1,113,3.2,9.42
×324,124,2.61,10.3,140,2.31,11.7,96.3,3.36,8.03,112,2.89,9.33
×297,123,2.41,10.3,139,2.14,11.6,95.4,3.11,7.95,111,2.68,9.25
×277,123,2.25,10.3,139,1.99,11.6,95.2,2.91,7.93,111,2.5,9.25
×249,123,2.02,10.3,139,1.79,11.6,94.6,2.63,7.88,110,2.26,9.17
×215,122,1.76,10.2,138,1.56,11.5,93.8,2.29,7.82,110,1.95,9.17
×199,121,1.64,10.1,137,1.45,11.4,93.2,2.14,7.77,109,1.83,9.08
W40×392,116,3.38,9.67,128,3.06,10.7,95.6,4.1,7.97,108,3.63,9
×331,114,2.9,9.5,126,2.63,10.5,93.8,3.53,7.82,106,3.12,8.83
×327,113,2.89,9.42,125,2.62,10.4,93.7,3.49,7.81,106,3.08,8.83
×278,112,2.48,9.33,124,2.24,10.3,92.4,3.01,7.7,104,2.67,8.67
×264,112,2.36,9.33,124,2.13,10.3,91.9,2.87,7.66,104,2.54,8.67
×235,112,2.1,9.33,124,1.9,10.3,91.3,2.57,7.61,103,2.28,8.58
×211,111,1.9,9.25,123,1.72,10.3,90.6,2.33,7.55,102,2.07,8.5
×183,110,1.66,9.17,122,1.5,10.2,89.8,2.04,7.48,102,1.79,8.5
×167,109,1.53,9.08,121,1.38,10.1,89,1.88,7.42,101,1.65,8.42
×149,109,1.37,9.08,121,1.23,10.1,88.2,1.69,7.35,100,1.49,8.33
W36×798,131,6.09,10.9,149,5.36,12.4,102,7.82,8.5,120,6.65,10
×650,128,5.08,10.7,146,4.45,12.2,98.6,6.59,8.22,116,5.6,9.67
×527,125,4.22,10.4,142,3.71,11.8,95.6,5.51,7.97,113,4.66,9.42
×439,123,3.57,10.3,140,3.14,11.7,93.6,4.69,7.8,111,3.95,9.25
×393,121,3.25,10.1,138,2.85,11.5,92.4,4.25,7.7,109,3.61,9.08
×359,121,2.97,10.1,137,2.62,11.4,91.5,3.92,7.63,108,3.32,9
×328,120,2.73,10,137,2.39,11.4,90.8,3.61,7.57,107,3.07,8.92
×300,120,2.5,10,136,2.21,11.3,90.1,3.33,7.51,107,2.8,8.92
×280,119,2.35,9.92,136,2.06,11.3,89.6,3.13,7.47,106,2.64,8.83
×260,119,2.18,9.92,135,1.93,11.3,89.2,2.91,7.43,106,2.45,8.83
×245,118,2.08,9.83,135,1.81,11.3,88.7,2.76,7.39,105,2.33,8.75
×230,118,1.95,9.83,134,1.72,11.2,88.3,2.6,7.36,105,2.19,8.75
W36×256,108,2.37,9,120,2.13,10,87,2.94,7.25,99.2,2.58,8.27
×232,108,2.15,9,120,1.93,10,86.3,2.69,7.19,98.4,2.36,8.2
×210,107,1.96,8.92,119,1.76,9.92,85.6,2.45,7.13,97.8,2.15,8.15
×194,107,1.81,8.92,119,1.63,9.92,85.1,2.28,7.09,97.2,2,8.1
×182,106,1.72,8.83,119,1.53,9.92,84.7,2.15,7.06,96.8,1.88,8.07
×170,106,1.6,8.83,118,1.44,9.83,84.4,2.01,7.03,96.4,1.76,8.03
×160,106,1.51,8.83,118,1.36,9.83,84,1.9,7,96,1.67,8
×150,105,1.43,8.75,117,1.28,9.75,83.8,1.79,6.98,95.8,1.57,7.98
×135,105,1.29,8.75,117,1.15,9.75,83.2,1.62,6.93,95.2,1.42,7.93
W33×387,117,3.31,9.75,133,2.91,11.1,88.2,4.39,7.35,104,3.72,8.67
×354,116,3.05,9.67,132,2.68,11,87.3,4.05,7.28,103,3.44,8.58
